,"Índice de producción industrial, INE (base 2009=100)","Índice de producción industrial, INE (base 2014=100)",Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),"Índice producción industrial, SOFOFA (2003=100)","Índice producción industrial, SOFOFA (2014=100)",Índice de ventas industriales SOFOFA (base 2014=100),Índice de ventas industriales SOFOFA (base 2003=100),Índice de ventas industriales SOFOFA (base 2000=100),MA
2009-01-03,101.993718682705,89.855102892385,130.9,130.9,130.9,130.9,114.885959484879,,,110.583926117791,128.2,
2009-01-04,96.9295176334956,85.3936094570875,,,,,105.4335111066,,,105.020940101532,,
2009-01-05,98.0583130727903,86.3880631514157,,,,,100.242272555072,,,103.608051555569,,
2009-01-06,99.6279988716328,87.7709353594826,,,,,101.268753074202,,,100.970910230818,,
2009-01-07,95.7306015854315,84.3373804436788,,,,,106.416422579977,,,107.548736082943,,
2009-01-08,100.364966701371,88.4201941670328,,,,,104.235150801302,,,108.133995258231,,
2009-01-09,99.8361111434909,87.9542794893221,,,,,101.918599402214,,,104.376770517023,,
2009-01-10,107.560182100803,94.7590827613402,,,,,109.673095862438,,,109.887940004065,,
2009-01-11,103.780232228817,91.4289974476358,,,,,107.941561302209,,,104.486795822911,,
2009-01-12,107.779026871848,94.9518820795111,,,,,110.04638880531,,,113.775172719228,,88.09866338133763
2010-01-01,97.0186656630594,85.4721476795641,,,,,105.748312467842,,,101.29845292064,,88.03094222307988
2010-01-02,92.4806213732572,81.4741913165953,,,,,101.617532404605,,,99.5387476748487,,88.18382218708759
2010-01-03,97.4937516764828,85.8906921073017,,,,,93.2207719504992,,,96.3693162772055,,87.85345462166397
2010-01-04,101.38038947631,89.3147680594233,,,,,99.8976608191786,,,98.0179310501973,,88.18021783852531
2010-01-05,100.229380612552,88.300744635052,,,,,102.809188993848,,,98.1011022594386,,88.33960796216167
2010-01-06,102.468583678398,90.273452606456,,,,,102.459152537524,,,99.9324408264124,,88.54815106607612
2010-01-07,103.598106879033,91.2685474487973,,,,,108.422391025283,,,106.46529575413,,89.12574831650267
2010-01-08,105.946574125421,93.3375157028137,,,,,110.798491654058,,,107.595785739549,,89.53552511115107
2010-01-09,99.9250515016352,88.0326347560538,,,,,104.149529293424,,,108.055213144464,,89.54205471671206
2010-01-10,106.569848136408,93.8866117756971,,,,,109.704250587635,,,109.150118361435,,89.4693488012418
2010-01-11,107.446806563027,94.659200427958,,,,,111.579887463742,,,107.986480025444,,89.73853238293532
2010-01-12,111.819837321069,98.5117820750482,,,,,115.508763540061,,,119.203098987856,,90.03519071589675
2011-01-01,105.301454909119,92.7691742960354,,,,,109.635286852631,91.20664978027344,88.04876708984375,106.298968343046,,90.64327626726934
2011-01-02,94.1431383250293,82.9388465295946,,,,,104.043695725735,85.18409729003906,85.4664077758789,104.679633142988,,90.76533086835262
2011-01-03,111.160223580401,97.93067118604,,,,,125.881457053479,97.73931121826172,92.46671295166016,120.344409897054,,91.76866245824748
2011-01-04,103.874863065197,91.5123659496329,,,,,111.684180840507,87.36738586425781,87.82968139648438,109.370662326052,,91.95179561576492
2011-01-05,106.334673657474,93.6794262031419,,,,,115.2194763987,96.10882568359375,92.10706329345703,109.48581466224,,92.4000190797724
